displacement,kilowatts,mileage,price,year,rimSize
2.5,110.0,400000.0,4200,2001.0,16.0
1.8,92.0,240000.0,3300,1997.0,16.0
1.6,55.0,260000.0,1500,1991.0,16.0
1.6,110.0,258734.0,3500,1997.0,16.0
1.6,55.0,180000.0,1000,1990.0,16.0
1.6,51.0,151099.0,999,1988.0,14.0
1.8,55.0,111111.0,899,1986.0,16.0
1.9,64.0,200000.0,4500,1990.0,16.0
1.9,74.0,33333.0,5900,2002.0,16.0
2.0,103.0,270000.0,10000,2006.0,16.0
1.8,66.0,250000.0,6700,1985.0,15.0
1.8,110.0,265000.0,7000,2002.0,16.0
2.0,103.0,250000.0,9900,2005.0,16.0
1.9,180.0,233100.0,6500,2000.0,16.0
1.6,110.0,300000.0,9300,2005.0,16.0
1.9,96.0,390000.0,6800,2001.0,16.0
1.9,96.0,300000.0,7300,2002.0,17.0
1.9,77.0,275412.0,7900,2004.0,17.0
2.0,103.0,319816.0,11501,2005.0,16.0
2.0,103.0,262000.0,6700,2004.0,17.0
1.9,180.0,396000.0,5400,2001.0,16.0
3.3,165.0,270000.0,7900,2001.0,16.0
1.9,77.0,272256.0,8900,2003.0,17.0
1.9,96.0,360000.0,6000,2003.0,15.0
1.9,96.0,412000.0,7200,2002.0,15.0
1.4,55.0,211000.0,5700,2002.0,15.0
2.0,125.0,220000.0,13000,2009.0,16.0
1.6,66.0,260000.0,13990,2010.0,16.0
1.6,77.0,248000.0,13900,2009.0,16.0
2.0,103.0,259000.0,12800,2010.0,16.0
2.0,103.0,330000.0,7000,2007.0,16.0
2.0,88.0,294000.0,14999,2009.0,17.0
3.0,166.0,315000.0,15000,2004.0,19.0
3.0,171.0,309000.0,12500,2007.0,17.0
2.0,103.0,255200.0,12999,2007.0,16.0
1.6,77.0,245000.0,12890,2010.0,16.0
3.0,171.0,300.0,11900,2006.0,18.0
2.7,140.0,264800.0,14500,2009.0,16.0
1.6,77.0,236450.0,14999,2011.0,15.0
1.6,77.0,276000.0,13450,2009.0,17.0
2.0,147.0,233500.0,12900,2005.0,18.0
2.0,103.0,220000.0,14900,2010.0,17.0
2.0,103.0,346538.0,10700,2006.0,15.0
1.9,85.0,335000.0,10800,2006.0,17.0
2.0,132.0,195000.0,15000,2011.0,16.0
1.4,80.0,230000.0,12300,2011.0,16.0
1.6,77.0,280000.0,14600,2011.0,17.0
1.6,77.0,245000.0,14290,2012.0,16.0
2.0,104.0,246000.0,16000,2008.0,16.0
2.0,105.0,257000.0,16900,2010.0,16.0
2.0,103.0,265018.0,15999,2009.0,16.0
3.0,176.0,273000.0,17999,2010.0,17.0
2.0,103.0,161500.0,19990,2011.0,17.0
